,City_x,IATA,ID,Name,City_y,Country,ICAO,Latitude,Longitude,Altitude,Timezone,DST,DZ,Type,Source
0,Tallinn,TLL,415,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,EETN,59.41329956,24.83279991,131,2.0,E,Europe/Tallinn,airport,OurAirports
1,Amsterdam,AMS,580,Amsterdam Airport Schiphol,Amsterdam,Netherlands,EHAM,52.308601,4.76389,-11,1.0,E,Europe/Amsterdam,airport,OurAirports
2,Athens,ATH,3941,Eleftherios Venizelos International Airport,Athens,Greece,LGAV,37.93640137,23.94449997,308,2.0,E,Europe/Athens,airport,OurAirports
3,Berlin,TXL,351,Berlin-Tegel Airport,Berlin,Germany,EDDT,52.5597,13.2877,122,1.0,E,Europe/Berlin,airport,OurAirports
4,Brussels,BRU,302,Brussels Airport,Brussels,Belgium,EBBR,50.90140152,4.48443985,184,1.0,E,Europe/Brussels,airport,OurAirports
5,Copenhagen,CPH,609,Copenhagen Kastrup Airport,Copenhagen,Denmark,EKCH,55.61790085,12.65600014,17,1.0,E,Europe/Copenhagen,airport,OurAirports
6,Dublin,DUB,599,Dublin Airport,Dublin,Ireland,EIDW,53.421299,-6.27007,242,0.0,E,Europe/Dublin,airport,OurAirports
7,Düsseldorf,NRN,4198,Weeze Airport,Weeze,Germany,EDLV,51.60240173,6.142169952000001,106,1.0,E,Europe/Berlin,airport,OurAirports
8,Edinburgh,EDI,535,Edinburgh Airport,Edinburgh,United Kingdom,EGPH,55.95000076,-3.3724999430000002,135,0.0,E,Europe/London,airport,OurAirports
9,Frankfurt,FRA,340,Frankfurt am Main Airport,Frankfurt,Germany,EDDF,50.033333,8.570556,364,1.0,E,Europe/Berlin,airport,OurAirports
10,Girona,GRO,1222,Girona Airport,Gerona,Spain,LEGE,41.90100098,2.760550022,468,1.0,E,Europe/Madrid,airport,OurAirports
11,Helsinki,HEL,421,Helsinki Vantaa Airport,Helsinki,Finland,EFHK,60.31719971,24.963300699999998,179,2.0,E,Europe/Helsinki,airport,OurAirports
12,Istanbul,IST,13696,Istanbul Airport,Istanbul,Turkey,LTFM,41.275278,28.751944,325,3.0,E,\N,airport,OurAirports
13,Kiev,IEV,2944,Kiev Zhuliany International Airport,Kiev,Ukraine,UKKK,50.40194,30.451940000000004,587,2.0,E,Europe/Kiev,airport,OurAirports
14,Kuressaare,URE,413,Kuressaare Airport,Kuressaare,Estonia,EEKE,58.22990036,22.5095005,14,2.0,E,Europe/Tallinn,airport,OurAirports
15,Kutaisi,KUT,3972,Kopitnari Airport,Kutaisi,Georgia,UGKO,42.17670059,42.48260117,223,4.0,N,Asia/Tbilisi,airport,OurAirports
16,Kärdla,KDL,412,KØ£Â¤rdla Airport,Kardla,Estonia,EEKA,58.99079895,22.83069992,18,2.0,E,Europe/Tallinn,airport,OurAirports
17,London,LGW,502,London Gatwick Airport,London,United Kingdom,EGKK,51.148102,-0.190278,202,0.0,E,Europe/London,airport,OurAirports
18,Malaga,AGP,1230,MØ£ØŒlaga Airport,Malaga,Spain,LEMG,36.67490005,-4.499110222,53,1.0,E,Europe/Madrid,airport,OurAirports
19,Malta,MLA,1606,Malta International Airport,Malta,Malta,LMML,35.857498,14.4775,300,1.0,E,Europe/Malta,airport,OurAirports
20,Milan,BGY,1525,Il Caravaggio International Airport,Bergamo,Italy,LIME,45.673901,9.70417,782,1.0,E,Europe/Rome,airport,OurAirports
21,Minsk,MSQ,2954,Minsk National Airport,Minsk 2,Belarus,UMMS,53.88249969,28.03070068,670,3.0,E,Europe/Minsk,airport,OurAirports
22,Moscow,SVO,2985,Sheremetyevo International Airport,Moscow,Russia,UUEE,55.972599,37.4146,622,3.0,N,Europe/Moscow,airport,OurAirports
23,Munich,MUC,346,Munich Airport,Munich,Germany,EDDM,48.353802,11.7861,1487,1.0,E,Europe/Berlin,airport,OurAirports
24,Nice,NCE,1354,Nice-CØ£Â´te d'Azur Airport,Nice,France,LFMN,43.65840149,7.215869904,12,1.0,E,Europe/Paris,airport,OurAirports
25,Oslo,OSL,644,Oslo Lufthavn,Oslo,Norway,ENGM,60.121,11.0502,681,1.0,E,Europe/Oslo,airport,OurAirports
26,Paphos,PFO,1198,Paphos International Airport,Paphos,Cyprus,LCPH,34.7179985,32.48569869999999,41,2.0,E,Asia/Nicosia,airport,OurAirports
27,Paris,CDG,1382,Charles de Gaulle International Airport,Paris,France,LFPG,49.012798,2.55,392,1.0,E,Europe/Paris,airport,OurAirports
28,Riga,RIX,3953,Riga International Airport,Riga,Latvia,EVRA,56.92359924,23.97109985,36,2.0,E,Europe/Riga,airport,OurAirports
29,Rome,FCO,1555,Leonardo da VinciÃ¢â‚¬â€œFiumicino Airport,Rome,Italy,LIRF,41.800277799999996,12.238888900000001,13,1.0,E,Europe/Rome,airport,OurAirports
30,Salzburg,SZG,1612,Salzburg Airport,Salzburg,Austria,LOWS,47.79330063,13.00430012,1411,1.0,E,Europe/Vienna,airport,OurAirports
31,Stockholm,ARN,737,Stockholm-Arlanda Airport,Stockholm,Sweden,ESSA,59.65190125,17.91860008,137,1.0,E,Europe/Stockholm,airport,OurAirports
32,Zürich,ZRH,1678,ZØ£Â¼rich Airport,Zurich,Switzerland,LSZH,47.464698999999996,8.54917,1416,1.0,E,Europe/Zurich,airport,OurAirports
33,Warsaw,WAW,679,Warsaw Chopin Airport,Warsaw,Poland,EPWA,52.16569901,20.96710014,362,1.0,E,Europe/Warsaw,airport,OurAirports
34,Vienna,VIE,1613,Vienna International Airport,Vienna,Austria,LOWW,48.11029816,16.56970024,600,1.0,E,Europe/Vienna,airport,OurAirports
35,Vilnius,VNO,3959,Vilnius International Airport,Vilnius,Lithuania,EYVI,54.634102,25.285801,648,2.0,E,Europe/Vilnius,airport,OurAirports
